Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
112	-1647227.1	282219.66	-1227705.4	-2151973.2	24.357143	-494.90823	5.7515717e-05	-494.9076	-494.90833	452000	1.0803342e-07	134754670000.0	-0.014317788	-1027072.0	0.006107367	0.0	133.54603791236877
113	-1165668.1	998820.9	451.69275	-2409724.8	418.8	-499.98294	5.9835078e-05	-499.98166	-499.9829	456000	-1.4901161e-08	40470036000.0	-0.017102972	-98408.33	0.0027510163	0.0	134.81035208702087
114	-1641149.0	610967.06	-473.60068	-2657619.8	104.583336	-501.774	8.963548e-05	-501.7735	-501.7741	460000	-4.4703484e-08	137668690000.0	-0.015104942	-761797.2	0.0049721813	0.0	136.25076293945312
115	-1633182.6	514493.25	-1014114.2	-2898780.5	31.1	-505.94275	8.614124e-05	-505.9409	-505.94272	464000	-2.2351742e-08	98404830000.0	-0.009821601	-637440.0	0.0042732316	0.0	137.76198196411133
116	-1133672.4	1222306.1	804.1012	-3281075.5	461.57144	-510.0312	6.388496e-05	-510.03003	-510.0312	468000	-1.3411045e-07	133192130000.0	-0.0126466155	-603051.25	0.004491583	0.0	139.11602401733398
117	-1473607.5	552102.4	-229.50035	-2176429.5	124.2	-513.9581	6.406511e-05	-513.95715	-513.9582	472000	-8.195639e-08	85259624000.0	-0.008969687	-488515.94	0.0027872813	0.0	140.55164098739624
118	-2161344.2	1057190.9	-554949.1	-3939575.2	37.42857	-517.578	8.212575e-05	-517.57684	-517.57794	476000	-5.2154064e-08	221455520000.0	-0.012015965	-1042432.0	0.0034111596	0.0	141.7794930934906
119	-1787330.4	557828.0	-866920.7	-3565044.8	27.421053	-522.7656	4.1011812e-05	-522.76514	-522.7656	480000	1.3411045e-07	231775200000.0	-0.01813262	-2484224.0	0.006982245	0.0	142.74501705169678
120	-811050.3	762776.75	892.43933	-1834849.4	424.8	-530.59625	0.00012236749	-530.59595	-530.59644	484000	-1.3038516e-08	19081855000.0	-0.013762653	-67618.164	0.0015102675	0.0	144.3452808856964
121	-1141075.4	1192457.2	830.8716	-2769018.2	509.75	-532.3736	6.257964e-05	-532.3733	-532.37366	488000	7.450581e-09	29199553000.0	-0.022352599	-26152.492	0.0053793895	0.0	145.59523797035217
122	-1201256.2	502892.06	107.98458	-1656152.6	147.625	-533.211	3.5445086e-05	-533.2101	-533.21106	492000	-2.0489097e-08	50065860000.0	-0.015941259	-197020.75	0.002957757	0.0	146.59170079231262
